id,title,url,transcript_path,has_transcript,source,error
Uh98_aGhAuY,What does AI mean for education?,https://www.youtube.com/watch?v=Uh98_aGhAuY,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/Uh98_aGhAuY.txt,True,yt-dlp,
PLyCki2K0Lg,Why we built—and donated—the Model Context Protocol (MCP),https://www.youtube.com/watch?v=PLyCki2K0Lg,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/PLyCki2K0Lg.txt,True,yt-dlp,
_jjSS0qGFbI,Getting started with connectors in Claude.ai,https://www.youtube.com/watch?v=_jjSS0qGFbI,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/_jjSS0qGFbI.txt,True,yt-dlp,
XpXImenrSPI,Claude Code in Slack,https://www.youtube.com/watch?v=XpXImenrSPI,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/XpXImenrSPI.txt,True,yt-dlp,
tJP6SKfo49c,How Anthropic uses Claude in Legal,https://www.youtube.com/watch?v=tJP6SKfo49c,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/tJP6SKfo49c.txt,True,yt-dlp,
I9aGC6Ui3eE,Anthropic’s philosopher answers your questions,https://www.youtube.com/watch?v=I9aGC6Ui3eE,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/I9aGC6Ui3eE.txt,True,yt-dlp,
xatyxfEevZA,AI Fluency for nonprofits course trailer,https://www.youtube.com/watch?v=xatyxfEevZA,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/xatyxfEevZA.txt,True,yt-dlp,
R-KJgjIrh24,Getting started with research in Claude.ai,https://www.youtube.com/watch?v=R-KJgjIrh24,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/R-KJgjIrh24.txt,True,yt-dlp,
GJ5jTgcbRHA,Getting started with projects in Claude.ai,https://www.youtube.com/watch?v=GJ5jTgcbRHA,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/GJ5jTgcbRHA.txt,True,yt-dlp,
0vZ_UVLhSQQ,Getting started with Claude.ai,https://www.youtube.com/watch?v=0vZ_UVLhSQQ,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/0vZ_UVLhSQQ.txt,True,yt-dlp,
fOxC44g8vig,Claude Agent Skills Explained,https://www.youtube.com/watch?v=fOxC44g8vig,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/fOxC44g8vig.txt,True,yt-dlp,
zrcCS9oHjtI,Claude Code on desktop,https://www.youtube.com/watch?v=zrcCS9oHjtI,,False,,"[youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one"
LpGpwhORWr0,"Claude works with you on slides, spreadsheets, and contract redlines",https://www.youtube.com/watch?v=LpGpwhORWr0,,False,,"[youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one"
56kq0VTkU4k,Introducing Claude Opus 4.5,https://www.youtube.com/watch?v=56kq0VTkU4k,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/56kq0VTkU4k.txt,True,yt-dlp,
2MJDdzSXL74,Claude Opus 4.5 solves a puzzle game,https://www.youtube.com/watch?v=2MJDdzSXL74,,False,,"[youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one"
lvMMZLYoDr4,"What is Al ""reward hacking""—and why do we worry about it?",https://www.youtube.com/watch?v=lvMMZLYoDr4,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/lvMMZLYoDr4.txt,True,yt-dlp,
VHsp6Hp7Stw,Turning Claude into your thinking partner,https://www.youtube.com/watch?v=VHsp6Hp7Stw,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/VHsp6Hp7Stw.txt,True,yt-dlp,
OwMu0pyYZBc,Claude Code modernizes a legacy COBOL codebase,https://www.youtube.com/watch?v=OwMu0pyYZBc,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/OwMu0pyYZBc.txt,True,yt-dlp,
Y6wiWlcH5jM,Generating real-time credit intelligence with Claude,https://www.youtube.com/watch?v=Y6wiWlcH5jM,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/Y6wiWlcH5jM.txt,True,yt-dlp,
AY3lif2E4zI,Accelerating private equity deal flows with Claude,https://www.youtube.com/watch?v=AY3lif2E4zI,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/AY3lif2E4zI.txt,True,yt-dlp,
NGOAUJtdk-4,Who let the robot dogs out?,https://www.youtube.com/watch?v=NGOAUJtdk-4,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/NGOAUJtdk-4.txt,True,yt-dlp,
CBneTpXF1CQ,"Claude Code updates: When to use Haiku 4.5, Claude Code on web, and more.",https://www.youtube.com/watch?v=CBneTpXF1CQ,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/CBneTpXF1CQ.txt,True,yt-dlp,
a8PmR-fNQ_0,How Claude is transforming financial services,https://www.youtube.com/watch?v=a8PmR-fNQ_0,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/a8PmR-fNQ_0.txt,True,yt-dlp,
PupmfSttxlc,Claude now has memory,https://www.youtube.com/watch?v=PupmfSttxlc,,False,,"[youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one"
sHImlfVM9r4,Introducing Claude for Life Sciences,https://www.youtube.com/watch?v=sHImlfVM9r4,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/sHImlfVM9r4.txt,True,yt-dlp,
Yiy0cU6ChSw,Scaling enterprise AI: Fireside chat with Eli Lilly’s Diogo Rau and Dario Amodei,https://www.youtube.com/watch?v=Yiy0cU6ChSw,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/Yiy0cU6ChSw.txt,True,yt-dlp,
NfoFdsc2ODQ,How AbbVie accelerates drug discovery with Claude,https://www.youtube.com/watch?v=NfoFdsc2ODQ,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/NfoFdsc2ODQ.txt,True,yt-dlp,
uhJJgc-0iTQ,Building more effective AI agents,https://www.youtube.com/watch?v=uhJJgc-0iTQ,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/uhJJgc-0iTQ.txt,True,yt-dlp,
kS1MJFZWMq4,Creating custom Skills with Claude,https://www.youtube.com/watch?v=kS1MJFZWMq4,,False,,"[youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one"
IoqpBKrNaZI,Agent Skills: Specialized capabilities you can customize,https://www.youtube.com/watch?v=IoqpBKrNaZI,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/IoqpBKrNaZI.txt,True,yt-dlp,
QTfoYDzqXn0,Connect Claude to Microsoft 365,https://www.youtube.com/watch?v=QTfoYDzqXn0,,False,,"[youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one"
ccQSHQ3VGIc,Introducing Claude Haiku 4.5,https://www.youtube.com/watch?v=ccQSHQ3VGIc,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/ccQSHQ3VGIc.txt,True,yt-dlp,
aZLr962R6Ag,Building with MCP and the Claude API,https://www.youtube.com/watch?v=aZLr962R6Ag,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/aZLr962R6Ag.txt,True,yt-dlp,
Yct0MvNtdfU,"Claude Coded: Sonnet 4.5, Claude Code 2.0, and more.",https://www.youtube.com/watch?v=Yct0MvNtdfU,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/Yct0MvNtdfU.txt,True,yt-dlp,
XuvKFsktX0Q,Building the future of agents with Claude,https://www.youtube.com/watch?v=XuvKFsktX0Q,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/XuvKFsktX0Q.txt,True,yt-dlp,
sbkwv-HVhQU,Connect Slack to Claude with MCP,https://www.youtube.com/watch?v=sbkwv-HVhQU,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/sbkwv-HVhQU.txt,True,yt-dlp,
PnX30ZXxKco,Charting Claude’s progress with Sonnet 4.5,https://www.youtube.com/watch?v=PnX30ZXxKco,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/PnX30ZXxKco.txt,True,yt-dlp,
Tdg_lkCMzY0,Create polished files in minutes with Sonnet 4.5,https://www.youtube.com/watch?v=Tdg_lkCMzY0,,False,,"[youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one"
IypXvHej9eY,Claude for Chrome brings AI where you’re already working,https://www.youtube.com/watch?v=IypXvHej9eY,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/IypXvHej9eY.txt,True,yt-dlp,
BER3EhUIyz0,Claude plays Catan: Managing agent context with Sonnet 4.5,https://www.youtube.com/watch?v=BER3EhUIyz0,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/BER3EhUIyz0.txt,True,yt-dlp,
dGiqrsv530Y,An experimental new way to design software,https://www.youtube.com/watch?v=dGiqrsv530Y,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/dGiqrsv530Y.txt,True,yt-dlp,
vLIDHi-1PVU,Designing Claude Code,https://www.youtube.com/watch?v=vLIDHi-1PVU,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/vLIDHi-1PVU.txt,True,yt-dlp,
FDNkDBNR7AM,Keep thinking with Claude,https://www.youtube.com/watch?v=FDNkDBNR7AM,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/FDNkDBNR7AM.txt,True,yt-dlp,
EV89Ws8Ui9Y,Claude can create and edit files,https://www.youtube.com/watch?v=EV89Ws8Ui9Y,,False,,"[youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one"
iF9iV4xponk,The future of agentic coding with Claude Code,https://www.youtube.com/watch?v=iF9iV4xponk,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/iF9iV4xponk.txt,True,yt-dlp,
mCj4kx_P2Ak,Research Preview: Claude for Chrome,https://www.youtube.com/watch?v=mCj4kx_P2Ak,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/mCj4kx_P2Ak.txt,True,yt-dlp,
EsCNkDrIGCw,Threat Intelligence: How Anthropic stops AI cybercrime,https://www.youtube.com/watch?v=EsCNkDrIGCw,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/EsCNkDrIGCw.txt,True,yt-dlp,
DAQJvGjlgVM,Building and prototyping with Claude Code,https://www.youtube.com/watch?v=DAQJvGjlgVM,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/DAQJvGjlgVM.txt,True,yt-dlp,
fGKNUvivvnc,Interpretability: Understanding how AI models think,https://www.youtube.com/watch?v=fGKNUvivvnc,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/fGKNUvivvnc.txt,True,yt-dlp,
UdoY2l5TZaA,Pick up where you left off with Claude,https://www.youtube.com/watch?v=UdoY2l5TZaA,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/UdoY2l5TZaA.txt,True,yt-dlp,
50AhIyybR0M,Claude for Financial Services Keynote,https://www.youtube.com/watch?v=50AhIyybR0M,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/50AhIyybR0M.txt,True,yt-dlp,
8gTpgWru0Wg,Building AI agents with Claude in Amazon Bedrock | Code w/ Claude,https://www.youtube.com/watch?v=8gTpgWru0Wg,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/8gTpgWru0Wg.txt,True,yt-dlp,
TUysIAtxyrQ,Building AI agents with Claude in Google Cloud's Vertex AI | Code w/ Claude,https://www.youtube.com/watch?v=TUysIAtxyrQ,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/TUysIAtxyrQ.txt,True,yt-dlp,
dRsjO-88nBs,Building headless automation with Claude Code | Code w/ Claude,https://www.youtube.com/watch?v=dRsjO-88nBs,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/dRsjO-88nBs.txt,True,yt-dlp,
gv0WHhKelSE,Claude Code best practices | Code w/ Claude,https://www.youtube.com/watch?v=gv0WHhKelSE,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/gv0WHhKelSE.txt,True,yt-dlp,
HNzH5Us1Rvg,MCP 201 | Code w/ Claude,https://www.youtube.com/watch?v=HNzH5Us1Rvg,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/HNzH5Us1Rvg.txt,True,yt-dlp,
ysPbXH0LpIE,Prompting 101 | Code w/ Claude,https://www.youtube.com/watch?v=ysPbXH0LpIE,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/ysPbXH0LpIE.txt,True,yt-dlp,
XSZP9GhhuAc,Prompting for Agents | Code w/ Claude,https://www.youtube.com/watch?v=XSZP9GhhuAc,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/XSZP9GhhuAc.txt,True,yt-dlp,
fHWFF_pnqDk,Vibe coding in prod | Code w/ Claude,https://www.youtube.com/watch?v=fHWFF_pnqDk,youtube-transcripts/UCrDwWp7EBBv4NwvScIpBDOA/transcripts/fHWFF_pnqDk.txt,True,yt-dlp,
4PtGWgEO0ME,Discover tools that work with Claude,https://www.youtube.com/watch?v=4PtGWgEO0ME,,False,,"[youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one; The extractor specified to use impersonation for this download, but no impersonate target is available. If you encounter errors, then see  https://github.com/yt-dlp/yt-dlp#impersonation  for information on installing the required dependencies; Unable to download video subtitles for 'en': HTTP Error 429: Too Many Requests"
